route_id,day_of_week,hour,weather,is_holiday,is_weekend,capacity,passenger_count,max_segment_pax,min_segment_pax,rush_level
Tenali-Chirala,Monday,5,Cloudy,0,0,48,17,15,5,Low
Tenali-Guntur,Friday,18,Sunny,0,0,55,47,54,27,High
Guntur-Ponnur,Monday,7,Sunny,0,0,45,33,36,13,Medium
Guntur-Mangalagiri,Saturday,7,Sunny,0,1,52,23,26,10,Medium
Tenali-Chirala,Monday,10,Rainy,0,0,48,47,48,19,High
Guntur-Nallapadu,Tuesday,23,Cloudy,0,0,48,21,17,5,Medium
Guntur-Mangalagiri,Tuesday,21,Sunny,0,0,52,24,22,8,Medium
Tenali-Chirala,Saturday,8,Rainy,0,1,48,27,33,13,Medium
Tenali-Ongole,Saturday,14,Cloudy,0,1,50,11,11,3,Low
Tenali-Vijayawada,Wednesday,12,Sunny,0,0,60,35,34,11,Medium
Guntur-Sattenapalli,Tuesday,22,Cloudy,0,0,50,22,22,6,Medium
Guntur-Brodipet,Monday,6,Sunny,0,0,52,24,19,7,Medium
Guntur-Mangalagiri,Monday,8,Rainy,0,0,52,50,52,21,High
Guntur-Amaravati,Thursday,10,Sunny,0,0,60,60,60,22,High
Guntur-Narasaraopet,Thursday,11,Cloudy,0,0,55,20,19,5,Low
Guntur-Mangalagiri,Wednesday,11,Foggy,0,0,52,24,21,7,Medium
Tenali-Chirala,Sunday,12,Sunny,0,1,48,12,11,3,Low
Guntur-Amaravati,Saturday,14,Sunny,0,1,60,22,17,5,Low
Guntur-Tenali,Tuesday,19,Cloudy,0,0,55,44,55,15,High
Tenali-Repalle,Tuesday,13,Sunny,0,0,42,16,13,4,Low
Guntur-Amaravati,Saturday,13,Sunny,0,1,60,20,19,4,Low
Guntur-Ponnur,Sunday,6,Cloudy,0,1,45,10,8,3,Low
Guntur-Sattenapalli,Monday,10,Cloudy,0,0,50,44,50,20,High
Guntur-Narasaraopet,Wednesday,14,Cloudy,0,0,55,27,20,7,Medium
Guntur-Brodipet,Monday,13,Sunny,0,0,52,19,15,6,Low
Guntur-Brodipet,Friday,22,Rainy,0,0,52,30,31,9,Medium
Guntur-Ponnur,Thursday,14,Rainy,0,0,45,25,23,7,Medium
Guntur-Ponnur,Thursday,19,Sunny,0,0,45,34,36,15,High
Guntur-Mangalagiri,Sunday,11,Sunny,1,1,52,21,21,6,Medium
Tenali-Vijayawada,Sunday,8,Cloudy,0,1,60,38,55,15,Medium
Tenali-Vijayawada,Thursday,21,Sunny,0,0,60,29,28,8,Medium
Tenali-Guntur,Wednesday,12,Sunny,0,0,55,23,18,8,Medium
Tenali-Repalle,Thursday,18,Sunny,0,0,42,31,42,14,Medium
Tenali-Ongole,Thursday,22,Cloudy,0,0,50,21,15,5,Medium
Tenali-Bapatla,Friday,5,Cloudy,0,0,45,20,17,6,Medium
Guntur-Narasaraopet,Wednesday,15,Cloudy,0,0,55,32,23,9,Medium
Tenali-Vijayawada,Monday,12,Sunny,1,0,60,35,28,8,Medium
Tenali-Ongole,Tuesday,14,Sunny,1,0,50,26,25,8,Medium
Tenali-Bapatla,Sunday,8,Cloudy,0,1,45,18,17,9,Medium
Guntur-Narasaraopet,Monday,18,Foggy,0,0,55,53,55,24,High
Guntur-Tenali,Wednesday,12,Cloudy,1,0,55,35,30,9,Medium
Tenali-Bapatla,Saturday,13,Rainy,0,1,45,13,10,5,Low
Guntur-Narasaraopet,Sunday,5,Sunny,0,1,55,15,13,4,Low
Guntur-Nallapadu,Saturday,11,Sunny,0,1,48,14,11,3,Low
Guntur-Ponnur,Tuesday,14,Sunny,0,0,45,17,14,4,Low
Guntur-Amaravati,Monday,13,Foggy,0,0,60,39,31,12,Medium
Tenali-Bapatla,Friday,12,Cloudy,0,0,45,21,15,8,Medium
Guntur-Nallapadu,Sunday,11,Rainy,0,1,48,13,11,4,Low
Guntur-Nallapadu,Saturday,12,Cloudy,0,1,48,13,11,3,Low
Tenali-Guntur,Sunday,23,Cloudy,0,1,55,14,9,5,Low
Guntur-Sattenapalli,Saturday,15,Rainy,1,1,50,26,20,7,Medium
Guntur-Narasaraopet,Wednesday,10,Foggy,0,0,55,55,55,22,High
Tenali-Vijayawada,Friday,6,Sunny,0,0,60,28,29,9,Medium
Tenali-Chirala,Thursday,6,Sunny,0,0,48,23,24,5,Medium
Tenali-Ongole,Monday,19,Foggy,0,0,50,38,46,16,High
Tenali-Guntur,Tuesday,7,Sunny,0,0,55,41,49,22,Medium
Tenali-Chirala,Thursday,9,Sunny,0,0,48,35,48,13,Medium
Guntur-Narasaraopet,Saturday,17,Sunny,0,1,55,38,48,15,Medium
Tenali-Guntur,Tuesday,18,Cloudy,0,0,55,36,40,17,Medium
Tenali-Chirala,Sunday,22,Sunny,0,1,48,13,10,3,Low
Tenali-Chirala,Saturday,8,Sunny,0,1,48,26,31,9,Medium
Tenali-Ongole,Thursday,12,Sunny,0,0,50,18,18,5,Low
Guntur-Tenali,Saturday,18,Rainy,0,1,55,31,37,12,Medium
Guntur-Brodipet,Friday,6,Cloudy,0,0,52,24,23,7,Medium
Guntur-Amaravati,Saturday,8,Cloudy,0,1,60,33,38,15,Medium
Tenali-Repalle,Friday,13,Cloudy,0,0,42,19,16,6,Medium
Guntur-Sattenapalli,Sunday,22,Sunny,0,1,50,10,9,2,Low
Tenali-Repalle,Wednesday,12,Rainy,0,0,42,28,21,7,Medium
Guntur-Ponnur,Saturday,22,Sunny,0,1,45,10,8,3,Low
Guntur-Nallapadu,Saturday,16,Rainy,0,1,48,15,15,4,Low
Guntur-Mangalagiri,Tuesday,23,Sunny,0,0,52,22,21,6,Medium
Tenali-Vijayawada,Tuesday,8,Rainy,1,0,60,60,60,27,High
Tenali-Repalle,Friday,8,Sunny,0,0,42,33,38,12,High
Tenali-Guntur,Thursday,7,Cloudy,0,0,55,37,41,20,Medium
Guntur-Tenali,Thursday,21,Rainy,1,0,55,42,40,12,High
Guntur-Nallapadu,Wednesday,18,Sunny,0,0,48,43,46,19,High
Tenali-Repalle,Wednesday,8,Sunny,0,0,42,42,42,19,High
Guntur-Ponnur,Sunday,22,Sunny,0,1,45,12,12,3,Low
Guntur-Amaravati,Wednesday,14,Cloudy,0,0,60,27,26,7,Medium
Guntur-Tenali,Saturday,15,Cloudy,0,1,55,12,11,3,Low
Guntur-Nallapadu,Wednesday,18,Sunny,0,0,48,38,48,14,High
Guntur-Nallapadu,Monday,20,Cloudy,0,0,48,35,48,15,Medium
Tenali-Bapatla,Thursday,23,Sunny,0,0,45,17,12,6,Low
Guntur-Ponnur,Monday,18,Cloudy,0,0,45,36,43,16,High
Guntur-Ponnur,Wednesday,9,Sunny,0,0,45,31,35,15,Medium
Tenali-Bapatla,Saturday,15,Cloudy,0,1,45,10,7,3,Low
Guntur-Tenali,Thursday,19,Sunny,0,0,55,39,51,18,Medium
Tenali-Bapatla,Saturday,11,Sunny,0,1,45,10,8,3,Low
